Name,Age,Hometown,Occupation,Outcome,Place,Ref
Kelsey Anderson[18],25,"Leesville, Louisiana",Junior Project Manager,Winner,1,[19]
Daisy Kent[20][21],25,"Becker, Minnesota",Account Executive,Week 10,2 (quit),
Rachel Nance[22],26,"Honolulu, Hawaii",ICU Nurse,Week 9,3,[23]
Maria Georgas[8][24],29,"Kleinburg, Ontario",Executive Assistant,Week 8,4,[25]
"Jennifer ""Jenn"" Tran[26][27]",25,"Hillsdale, New Jersey",PA Student,Week 7,5-6,[28]
Kelsey Toussant[29],31,"Inglewood, California",Actress,,,
Katelyn DeBacker[30],26,"Santa Fe, New Mexico",Radiochemist,Week 6,7-8,[15]
Lea Cayanan[5][22],23,"Waipahu, Hawaii",Account Manager,,,
Lexi Young[31],30,"Pataskala, Ohio",Digital Strategist,9 (quit),,
"Jessica ""Jess"" Edwards[32]",24,"Erwin, Tennessee",Executive Assistant,10,,
Autumn Waggoner[33],26,"De Soto, Missouri",Account Executive,Week 5,11–12,[34]
Madina Alam[35],31,"Charlotte, North Carolina",Mental Health Therapist,,,
Allison Hollinger[a][36],26,"Dover, Delaware",Realtor,Week 4,13–14,
Edwina Dorbor[37],25,"Maple Grove, Minnesota",Entrepreneur,,,
Sydney Gordon[38],28,"Newport, Rhode Island",Vintage Store Owner,15,[39],
Chrissa Perez[24][40],26,"Abbotsford, British Columbia",Marketing Director,Week 3,16–18,[14]
Evalin Clark[41],29,"San Antonio, Texas",Nanny,,,
Starr Skyler[27],25,"Delray Beach, Florida",Mental Health Counselor,,,
Erika Cardenas[42],25,"North Bergen, New Jersey",Leasing Agent,Week 2,19–21,[13]
Marlena Haddad[7][27],26,"Waterbury, Connecticut",Finance Writer,,,
Taylor Wiens[43],23,"Olathe, Kansas",Recruiter,,,
Lauren Hollinger[a][36],28,"Dover, Delaware",Registered Nurse,22 (quit),,
Chandler Dewgard[44],24,"Brooklyn, New York",Graphic Designer,Week 1,23–32,[45]
Kayla Rodgers[46],27,"Hamilton, Ohio",Guidance Counselor,,,
Kyra Brusch[27],26,"Miami, Florida",Paralegal,,,
Lanie Latsios[36],27,"Glen Mills, Pennsylvania",Realtor,,,
"Natalie ""Nat"" Crepeau[24][47]",26,"Sudbury, Ontario",Nursing Professor,,,
"Samantha ""Sam"" Hale[48]",31,"Melville, New York",CPA,,,
Samantha Washington[6][27],25,"Lincoln, Nebraska",Miami Dolphins Cheerleader,,,
Sandra Rabadi[48],26,"Strongsville, Ohio",Cybersecurity Consultant,,,
Talyah Jackson[49],23,"Huntington Beach, California",Esthetician,,,
Zoe Antona[50],24,"Roswell, Georgia",Artist,,,
