Name,Age,Hometown,Occupation,Outcome,Place,Ref
Cassie Randolph[12],23,"Huntington Beach, California",Speech Pathologist,Winner,1,[13]
Hannah Godwin[14],23,"Birmingham, Alabama",Content Creator,Week 9,2,[15]
Tayshia Adams[16],28,"Santa Ana, California",Phlebotomist,3,,
Cassie Randolph,(Returned to competition),Quit[a],[17],,,
Caelynn Miller-Keyes[18],23,"Fredericksburg, Virginia",Miss North Carolina USA 2018,Week 8,4,[19]
Kirpa Sudick[20],26,"Whittier, California",Dental Hygienist,Week 7,5,[21]
Heather Martin[22],23,"Carlsbad, California",Assistant Program Manager,6 (quit),,
Hannah Brown[14],24,"Northport, Alabama",Miss Alabama USA 2018,7,,
Katie Morton[23],26,"Oviedo, Florida",Medical Sales Representative,Week 6,8,[24]
Demi Burnett[25],23,"Red Oak, Texas",Interior Designer,9,,
Sydney Lotuaco[20],27,"Virginia Beach, Virginia",NBA Dancer,10 (quit),,
Nicole Lopez-Alvar[26],25,"Miami, Florida",Social Media Coordinator,Week 5,11–12,
Onyeka Ehie[25],24,"Manhattan, Kansas",IT Risk Consultant,,,
Elyse Dehlbom[27],31,"Soldotna, Alaska",Makeup Artist,13 (quit),[28],
Courtney Curtis[20],23,"McDonough, Georgia",Caterer,Week 4,14–15,[29]
Tracy Shapoff[30],31,"Rochester, New York",Wardrobe Stylist,,,
"Brianna ""Bri"" Barnes[31]",24,"Chino Hills, California",Model,Week 3,16–18,[32]
Catherine Agro[26],26,"Fort Lauderdale, Florida",DJ,,,
Nina Bartula[18],30,"Raleigh, North Carolina",Sales Account Manager,,,
Caitlin Clemmens[33],25,"Toronto, Ontario",Realtor,19,,
Alex Blumberg[20],29,"Vancouver, British Columbia",Dog Rescuer,Week 2,20–23,[34]
Angelique Sherman[35],28,"Hamilton, New Jersey",Marketing Salesperson,,,
Annie Reardon[5][14],23,"Mequon, Wisconsin",Financial Associate,,,
Erika McNutt[20],25,"Encinitas, California",Recruiter,,,
Alex Dillon[36],23,"Dennis, Massachusetts",Sloth,Week 1,24–30,[37]
Devin Gooden[38],23,"Medford, Oregon",Broadcast Journalist,,,
Erin Landry[25],28,"Plano, Texas",Cinderella,,,
"Adrianne ""Jane"" Averbukh[39]",26,"West Hollywood, California",Social Worker,,,
Laura Pellerito[25],26,"Dallas, Texas",Accountant,,,
Revian Chang[20],24,"Plano, Texas",Nurse,,,
Tahzjuan Hawkins[20],25,"Castle Pines, Colorado",Business Development Associate,,,
