Name,Age,Hometown,Occupation,Outcome,Place,Ref
Lauren Bushnell[9],25,"West Linn, Oregon",Flight Attendant,Winner,1,[10]
"Joelle ""JoJo"" Fletcher[6][11]",24,"Dallas, Texas",Real Estate Developer,Runner-up,2,
Caila Quinn[12],24,"Hudson, Ohio",Software Sales Representative,Week 9,3,[13]
Amanda Stanton[11][14],25,"Laguna Beach, California",Esthetician,Week 8,4,[15]
Becca Tilley[16],26,"Shreveport, Louisiana",Chiropractic Assistant,Week 7,5,[17]
Emily Ferguson[a][11],23,"Las Vegas, Nevada",Waitress,6,,
Lauren Himle[18],25,"Dexter, Michigan",Kindergarten Teacher,Week 6,7,[19]
Olivia Caridi[5][11],23,"Austin, Texas",Former News Anchor,8,,
Leah Block[20],25,"Greenwood Village, Colorado",Event Planner,9,,
Jennifer Saviano[21],25,"Davie, Florida",Small Business Owner,Week 5,10,
Jubilee Sharpe[11],24,"Fort Lauderdale, Florida",War Veteran,11,[22],
Amber James[23],30,"Kankakee, Illinois",Bartender,Week 4,12–13,[24]
Rachel Tchen[25],23,"Little Rock, Arkansas",Unemployed,,,
Haley Ferguson[a][11],23,"Las Vegas, Nevada",Waitress,14,,
Jami Letain[26],23,"St. Albert, Alberta",Bartender,Week 3,15–16,[27]
Shushanna Mkrtychyan[28],27,"Salt Lake City, Utah",Property Manager,,,
Lace Morris[20],25,"Denver, Colorado",Real Estate Agent,17 (quit),,
"Amanda ""Mandi"" Kremer[29]",28,"Portland, Oregon",Dentist,Week 2,18–20,[30]
"Jacqueline ""Jackie"" Dion[31]",23,"Newport Beach, California",Gerontologist,,,
Samantha Passmore[32],26,"New Smyrna Beach, Florida",Attorney,,,
"Lauren ""LB"" Barr[33]",23,"Stillwater, Oklahoma",Fashion Buyer,21 (quit),,
Breanne Rice[34],30,"Seattle, Washington",Nutritional Therapist,Week 1,22–28,[35]
"Isabel ""Izzy"" Goodkind[36]",24,"Branford, Connecticut",Graphic Designer,,,
Jessica Moser[37],23,"Boca Raton, Florida",Accountant,,,
Laura Esselman[38],24,"Louisville, Kentucky",Account Executive,,,
Lauren Russell[39],26,"Houston, Texas",Math Teacher,,,
Maegan Miller[39],30,"Visalia, California",Cowgirl,,,
Tiara Soleim[40],27,"Redmond, Washington",Chicken Enthusiast,,,
